session,blockNum,trialNum,target,condition,text
sessid002,PreTest,36,tangram_AE.png,control,"So, this one is, it looks like a dude riding a, like an animal, and the animal, the animal is facing to the left, and the person's head is a square. And the tail of the animal..."
sessid002,PreTest,37,tangram_E.png,control,"Okay, this one looks kind of like a bunny rabbit, like two triangles on the top of its head, and it's like the bunny rabbit is like, the bunny rabbit's body is a triangle."
sessid002,PreTest,38,tangram_D.png,repeated,"Okay, this one looks like, like a priest who has his hands out pointed to the left, his head is a square."
sessid002,PreTest,39,tangram_J.png,repeated,"Okay, this one is like a bulkier priest, and his, he has like a little stubby arm pointing to the right, and it's a triangle, and his head is a square, and the foot..."
sessid002,PreTest,40,tangram_Y.png,control,"Okay, this one looks like, looks like an animal, his head is a parallelogram, and it's like pointing to the left. it has two, like, legs."
sessid002,PreTest,41,tangram_X.png,repeated,"Okay, this one, this one looks like an upside down Y, and the top is a square. Um, the bottom..."
sessid002,PreTest,42,tangram_H.png,repeated,"Okay, this one looks like, just like an oval blob with a square on top, and like a tiny thing jutting out on the bottom right side. Like, looks like a, like a... Like, like the thick priest, but like, there's a little triangle."
sessid002,PreTest,43,tangram_U.png,control,"Okay, this one has a triangle for the base, but then at the, at the bottom right corner of the triangle is another upside down triangle, and the top is a square. And on the left and right side, there's like two more shapes jutting out."
sessid002,PreTest,44,tangram_R.png,repeated,"Okay, this one looks like a scuba diver, and the little flipper leg, the flipper feet are two triangles at the bottom."
sessid002,PreTest,45,tangram_N.png,control,"Okay, this one is like, it's very simple, it's just a parallelogram, and then there's like a line coming down on the left side."
sessid002,PreTest,46,tangram_A.png,control,"Okay, this one looks like, if you think of like a monk with like their robes, they're like, he's like standing, and he's facing to the left, and he's lifting one of his legs up. His head is a square, the feet are little triangles. Um, another way to think of it is... oh nice."
sessid002,PreTest,47,tangram_Z.png,repeated,"Okay, this one is just kind of like a line of shapes going from the top left to the bottom right. It starts with like a triangle, then a trapezoid, then a parallelogram, and then a triangle."
sessid002,PreTest,48,tangram_AJ.png,control,"This one reminds me of someone doing a handstand, like there's a square on the bottom that I think is the head, and then the top is just a small triangle, and then there's a big triangle at the bottom, at the very bottom. And the the square is kind of like a quarter of the way up from the bottom of the picture. The top is like a tiny triangle."
sessid002,PreTest,49,tangram_L.png,control,"This one reminds me of someone praying. The bottom is a parallelogram, and they're kneeling towards the right. The bottom is a parallelogram."
sessid002,PreTest,50,tangram_M.png,repeated,"This one is like a scorpion. It has like a square, and then two triangle arms and a tail going to the down to the right. Um, uh, the bottom right, like the tail part, is a parallelogram, and there's like there's a there's a triangle at the top that has like two triangles next to it, kind of making three points, kind of like a crown."
sessid002,PreTest,51,tangram_F.png,control,"This is someone sitting down. Their feet are pointed towards the left, and their head is tilted down a little bit."
sessid002,PreTest,52,tangram_AA.png,control,"Okay, this one is a rectangle, slanted, pointing from the top left to the bottom right, and then there's like shapes attached to it, so there's a triangle on like the bottom side."
sessid002,PreTest,53,tangram_AH.png,repeated,"This one is a house, and there's a rectangle on the right side sticking up."
sessid002,PreTest,54,tangram_B.png,repeated,"This one has a square on the top, and then like two triangles pointed out from the sides, but the triangle on the right is like detached from the main body, and then the bottom is like a bunch of shapes."
sessid002,PreTest,55,tangram_V.png,control,"Okay, this one looks like the animal from before, but its head is a triangle, and its front legs are bigger than the back legs, and it has a parallelogram tail."
sessid002,PreTest,56,tangram_T.png,control,"This one reminds me of an ostrich. Its head is pointed to the right, and it has two triangle feet at the bottom. It looks like a swan or something."
sessid002,PreTest,57,tangram_I.png,repeated,"This one reminds me of a person dancing, kind of. There's a rectangle at the base, kind of going up and down, and then there's a triangle on the right, and then on the left side of the rectangle is a square and two more triangles, like the person's arms. They're doing like a thingy."
sessid002,PreTest,58,tangram_AC.png,repeated,"This one is a symmetrical object, square on the top, looks like a spaceship on the bottom."
sessid002,PreTest,59,tangram_O.png,control,"Okay, this one also symmetrical. This one is two diamonds on top of each other with a square on top."
sessid002,PreTest,60,tangram_K.png,control,"Okay, this one is like the person praying. Oh. Oops."
sessid002,PreTest,61,tangram_AB.png,repeated,"Okay, this one is um this one is a little complicated. There's a square on the top, um, and then at the bottom, there's a parallelogram on the right, and then kind of like a hook shape on the left, made by like a triangle and a rectangle. Um um it reminds me of like a can opener at the bottom. Um."
sessid002,PreTest,62,tangram_AG.png,control,"Okay, this is a house, but the rectangle is on the left side and there's an arrow at the top."
sessid002,PreTest,63,tangram_P.png,control,"Okay, this one is there's um a square at the top, and then towards the right side, and then a triangle on the left side upside down. Um and then there's like a big rectangle type thing slanted from the top right to the bottom left."
sessid002,PreTest,64,tangram_Q.png,repeated,This one reminds me of a pillar or some kind of tower. There's um a rectangular base with like a triangle thing.
sessid002,PreTest,65,tangram_C.png,control,"This one is like a person with their arms up. There's a triangle on the top, and then two... the main body is a big parallelogram, and they have their hands with their arms up."
sessid002,PreTest,66,tangram_AF.png,repeated,"Okay, this one looks like another person riding an animal. The animal is facing the left. The person has a square head. The animal has a triangle head and a triangle tail."
sessid002,PreTest,67,tangram_G.png,repeated,"Okay, this one has a square at the top, and then also a triangle at the top on the right side, which is kind of detached. And then on towards the middle on the right side, there's another detached triangle. And the bottom left is a parallelogram. It's kind of a weird shape."
sessid002,PreTest,68,tangram_S.png,control,"Okay, this one reminds me of a totem pole. It's just a pole and then two triangles stuck on the side, or two trapezoids stuck on the side."
sessid002,PreTest,69,tangram_AI.png,repeated,"This one is someone diving down into water. The top is two triangles, and then the bottom is like a square head and two arm-like things."
sessid002,PreTest,70,tangram_W.png,repeated,"Okay, this is rectangle at the bottom, and then skinny rectangle going up on the left with a triangle on top."
sessid002,PreTest,71,tangram_AD.png,repeated,"This one is just a symmetrical upside down trapezoid with two parallelograms on either side, kind of pointing inwards."
sessid002,Repeated_run-01,72,tangram_G.png,repeated,"okay, so it's like a horse like kneeling back, parallelogram on the right, um, bottom left corner. The square is like in the middle, up, and then there's like two triangles separated that are like kneeling back. It's like a like a horse neighing raising its two hooves up in the air. It's like two separate triangles, or one in the right upper right corner one in the lower right corner as well. Trapazoid with a parallelogram for the body with like a rectangle going up. Oh no."
sessid002,Repeated_run-01,73,tangram_Q.png,repeated,"Okay, it's like a toilet with like a square on the top, a diamond on the top Like the seat is pointed to the left And there's a little triangle like mini triangle sticking out from the right side The base has like a rectangle with two triangles one small"
sessid002,Repeated_run-01,74,tangram_X.png,repeated,"This is someone trying to do the splits, upside down Y"
sessid002,Repeated_run-01,75,tangram_W.png,repeated,"This one's the, look like a music note. Square on the bottom. Like a big rectangle on the bottom and then a like pole going up with the triangle on the very top"
sessid002,Repeated_run-01,76,tangram_AH.png,repeated,"House with a rectangle on the right, long rectangle on the right."
sessid002,Repeated_run-01,77,tangram_B.png,repeated,"Person with its arms out for triangles with the one on the right is dettached but one on the left is still attached. Square head like two triangles sticking up in the sides one is dettached, the one on the right is dettached, the one on left is still attached."
sessid002,Repeated_run-01,78,tangram_H.png,repeated,"Okay, this one is like a Like a blob of person. It's a blob with a head Square head, but like the body's just a one blob like one ovular blob but like not like Frick a triangle on the very right bottom."
sessid002,Repeated_run-01,79,tangram_J.png,repeated,"This one is, it's like the blob like we saw just now except now there's a triangle on the very top and the bottom."
sessid002,Repeated_run-01,80,tangram_AF.png,repeated,"Horse riding, riding a horse or riding an animal"
sessid002,Repeated_run-01,81,tangram_AC.png,repeated,"Spaceship Triangle on the right And the last and then the triangle going up connected to a diamond at the very top Very symmetrical, very pleasing to look at"
sessid002,Repeated_run-01,82,tangram_AI.png,repeated,"Handstand, the two feet are like very small triangles at the very top Someone on like one hand, one parallelogram as a hand"
sessid002,Repeated_run-01,83,tangram_R.png,repeated,Scuba diver two tiny little triangle feet
sessid002,Repeated_run-01,84,tangram_M.png,repeated,"Scorpion, the three triangle at the very top of the parallelogram"
sessid002,Repeated_run-01,85,tangram_D.png,repeated,"Someone like the priest praying, like not praying, the one that's like the extending of hands out to like give like yeah"
sessid002,Repeated_run-01,86,tangram_I.png,repeated,"Ice skater, um foot is up and pointed to the left, one foot is up in the air, They're like two arms or triangle pointed toward the left. Yeah."
sessid002,Repeated_run-01,87,tangram_AD.png,repeated,"Okay, this one is the trapezoid in the bottom and then parallelogram stuck towards the middle"
sessid002,Repeated_run-01,88,tangram_Z.png,repeated,"This one's a really weird shape Triangle at the top, triangle at the top left corner, triangle at the bottom right corner then in the middle they're like trapezoid on the top, parallelogram on the bottom right parallelogram with a triangle top left, trapezoid with a triangle, Go from top left to bottom right like a string of Stinky little patterns. There's nothing in top right or bottom left."
sessid002,Repeated_run-01,89,tangram_AB.png,repeated,"Okay, and then this dancer with a like with a Triangle two triangles for feet One triangle is facing to the right, one triangle facing down, and then there's another triangle on the top That's like facing to the right with a trapezoid"
sessid002,Repeated_run-02,90,tangram_Z.png,repeated,"Okay, this is the weird string of, uh, shapes going from the..."
sessid002,Repeated_run-02,91,tangram_D.png,repeated,"Okay, a priest with the arms open to the left."
sessid002,Repeated_run-02,92,tangram_M.png,repeated,"Scorpion. So, three points at the top."
sessid002,Repeated_run-02,93,tangram_AD.png,repeated,"This one is upside down trapezoid, two parallelograms."
sessid002,Repeated_run-02,94,tangram_Q.png,repeated,"Okay, this one is, the top is a square, and then the rest looks like a pillar, like the trapezoid base, a little thing sticking out on the right. The base is like a rectangle, and then it's like a triangle, or like trapezoid shape at the bottom, and then upside down trapezoid halfway through. And then a little pointy triangle nub on the right."
sessid002,Repeated_run-02,95,tangram_I.png,repeated,"Ice skater, triangle, foot pointing out to the right, the two arms out."
sessid002,Repeated_run-02,96,tangram_J.png,repeated,"This one is, um, like thick person with the two triangles pointing to the right with the square head. Um, like the foot is a triangle, and then the arm is a triangle pointing to the right."
sessid002,Repeated_run-02,97,tangram_AH.png,repeated,"House, rectangle up on the right side."
sessid002,Repeated_run-02,98,tangram_X.png,repeated,"Uh, person doing the splits, square head, trapezoid."
sessid002,Repeated_run-02,99,tangram_B.png,repeated,"Um, this is a weird shape with the person with the arms, and like the triangle on the right is not attached, and the triangle on the left is attached."
sessid002,Repeated_run-02,100,tangram_AF.png,repeated,Person riding a horse.
sessid002,Repeated_run-02,101,tangram_G.png,repeated,"Um, oh this is what you said the horse neighing was, the two triangles pointing to the right."
sessid002,Repeated_run-02,102,tangram_AB.png,repeated,"Um, this is like the dancer, what I said was a can opener at the bottom, like two triangle legs."
sessid002,Repeated_run-02,103,tangram_R.png,repeated,"Uh, scuba diver going up."
sessid002,Repeated_run-02,104,tangram_AC.png,repeated,"Spaceship, satisfying."
sessid002,Repeated_run-02,105,tangram_H.png,repeated,"Um, this is the oval blob person with the little triangle sticking out on the right, bottom right."
sessid002,Repeated_run-02,106,tangram_W.png,repeated,"This is the rectangle face with the skinny rectangle on the left side, triangle on the top."
sessid002,Repeated_run-02,107,tangram_AI.png,repeated,"Uh, handstand person, two triangles at the top."
sessid002,Repeated_run-03,108,tangram_AB.png,repeated,"Okay, it's a dancer, with a can opener, like..."
sessid002,Repeated_run-03,109,tangram_H.png,repeated,"It's the person blob with the triangle, one triangle facing to the right."
sessid002,Repeated_run-03,110,tangram_AC.png,repeated,It's a spaceship. Satisfying.
sessid002,Repeated_run-03,111,tangram_B.png,repeated,Right arm detached and left arm attached.
sessid002,Repeated_run-03,112,tangram_AF.png,repeated,Riding horse.
sessid002,Repeated_run-03,113,tangram_W.png,repeated,"A big rectangle, a little rectangle and a little triangle to the left."
sessid002,Repeated_run-03,114,tangram_R.png,repeated,Music note.
sessid002,Repeated_run-03,115,tangram_I.png,repeated,Scuba diver.
sessid002,Repeated_run-03,116,tangram_G.png,repeated,Ice skater.
sessid002,Repeated_run-03,117,tangram_X.png,repeated,"Neighing, horse neighing."
sessid002,Repeated_run-03,118,tangram_AI.png,repeated,"Splits, upside down Y."
sessid002,Repeated_run-03,119,tangram_AH.png,repeated,Handstand.
sessid002,Repeated_run-03,120,tangram_Z.png,repeated,"House, a rectangle on the right."
sessid002,Repeated_run-03,121,tangram_J.png,repeated,"A weird shape, triangle on the top, triangle on the bottom right as well. Top left and bottom right. Weird shapes throughout. Trapezoid and the trapezoid, yeah."
sessid002,Repeated_run-03,122,tangram_D.png,repeated,"Okay, the chunky dude with the two triangles facing to the right. Priest, holding hands out."
sessid002,Repeated_run-03,123,tangram_AD.png,repeated,Then trapezoid upside down with parallelogram facing forward.
sessid002,Repeated_run-03,124,tangram_Q.png,repeated,"Bathroom, toilet, with the... yeah."
sessid002,Repeated_run-03,125,tangram_M.png,repeated,Scorpion.
sessid002,Repeated_run-04,126,tangram_AF.png,repeated,"Horsie, riding a horsie, person riding a horsie."
sessid002,Repeated_run-04,127,tangram_AC.png,repeated,Spaceship.
sessid002,Repeated_run-04,128,tangram_AI.png,repeated,Handstand person. Two triangles on the top.
sessid002,Repeated_run-04,129,tangram_M.png,repeated,Scorpion.
sessid002,Repeated_run-04,130,tangram_Q.png,repeated,Toilet.
sessid002,Repeated_run-04,131,tangram_AD.png,repeated,"Upside-down trapezoid, two parallelograms."
sessid002,Repeated_run-04,132,tangram_I.png,repeated,Ice skater.
sessid002,Repeated_run-04,133,tangram_B.png,repeated,Weird-shaped dettached triangle on the right. Square head. Arms out.
sessid002,Repeated_run-04,134,tangram_AB.png,repeated,Dancer. Can opener bottom.
sessid002,Repeated_run-04,135,tangram_R.png,repeated,Scuba diver.
sessid002,Repeated_run-04,136,tangram_H.png,repeated,Oval blob person. Triangle bottom right.
sessid002,Repeated_run-04,137,tangram_J.png,repeated,Thick person. Two triangles pointing to the right.
sessid002,Repeated_run-04,138,tangram_AH.png,repeated,House rectangle on the right.
sessid002,Repeated_run-04,139,tangram_W.png,repeated,Music note.
sessid002,Repeated_run-04,140,tangram_X.png,repeated,Person doing splits.
sessid002,Repeated_run-04,141,tangram_Z.png,repeated,Weird line of shapes.
sessid002,Repeated_run-04,142,tangram_G.png,repeated,Horse neighing.
sessid002,Repeated_run-04,143,tangram_D.png,repeated,Priest. Arms out to the left.
sessid002,Repeated_run-05,144,tangram_M.png,repeated,Scorpion.
sessid002,Repeated_run-05,145,tangram_AB.png,repeated,Dancer with the can opener.
sessid002,Repeated_run-05,146,tangram_G.png,repeated,Horse neighing.
sessid002,Repeated_run-05,147,tangram_H.png,repeated,Blob with triangle to the right.
sessid002,Repeated_run-05,148,tangram_D.png,repeated,Priest.
sessid002,Repeated_run-05,149,tangram_AF.png,repeated,Riding a horse.
sessid002,Repeated_run-05,150,tangram_I.png,repeated,Ice skating.
sessid002,Repeated_run-05,151,tangram_Q.png,repeated,Toilet.
sessid002,Repeated_run-05,152,tangram_B.png,repeated,Detached right arm and attached left arm.
sessid002,Repeated_run-05,153,tangram_W.png,repeated,Music note.
sessid002,Repeated_run-05,154,tangram_AI.png,repeated,Handstand.
sessid002,Repeated_run-05,155,tangram_J.png,repeated,Chunky man.
sessid002,Repeated_run-05,156,tangram_X.png,repeated,Splits.
sessid002,Repeated_run-05,157,tangram_AD.png,repeated,Upside down trapezoid parallelograms.
sessid002,Repeated_run-05,158,tangram_Z.png,repeated,Weird shapes in a line.
sessid002,Repeated_run-05,159,tangram_AC.png,repeated,Spaceship.
sessid002,Repeated_run-05,160,tangram_AH.png,repeated,House.
sessid002,Repeated_run-05,161,tangram_R.png,repeated,Scuba diver.
sessid002,Repeated_run-06,162,tangram_AB.png,repeated,Can opener dancer.
sessid002,Repeated_run-06,163,tangram_B.png,repeated,Detached right arm.
sessid002,Repeated_run-06,164,tangram_H.png,repeated,"Oval blob, one right triangle, bottom right."
sessid002,Repeated_run-06,165,tangram_M.png,repeated,Scorpion.
sessid002,Repeated_run-06,166,tangram_J.png,repeated,"Chunky guy. Thick guy, arms to the right."
sessid002,Repeated_run-06,167,tangram_AI.png,repeated,Handstand guy.
sessid002,Repeated_run-06,168,tangram_Q.png,repeated,Toilet.
sessid002,Repeated_run-06,169,tangram_X.png,repeated,"Splits, upside down Y."
sessid002,Repeated_run-06,170,tangram_D.png,repeated,"Priest, arms going to the left."
sessid002,Repeated_run-06,171,tangram_AD.png,repeated,Upside down trapezoid.
sessid002,Repeated_run-06,172,tangram_Z.png,repeated,Weird shapes in a line.
sessid002,Repeated_run-06,173,tangram_R.png,repeated,Scuba diving.
sessid002,Repeated_run-06,174,tangram_W.png,repeated,Music note.
sessid002,Repeated_run-06,175,tangram_I.png,repeated,Ice skater.
sessid002,Repeated_run-06,176,tangram_AF.png,repeated,Riding horse.
sessid002,Repeated_run-06,177,tangram_AC.png,repeated,Spaceship.
sessid002,Repeated_run-06,178,tangram_G.png,repeated,Horse neighing.
sessid002,Repeated_run-06,179,tangram_AH.png,repeated,House.
sessid002,PostTest,180,tangram_N.png,control,"Okay, this one is a a parallelogram on the very top. And then it's like a small skinny thing going down. And then in the very right and then going to the right is like a square."
sessid002,PostTest,181,tangram_V.png,control,"Uh, this is like an animal with the front triangle bigger than the back triangle. Like, front foot is bigger than the back foot."
sessid002,PostTest,182,tangram_AD.png,repeated,"Okay, this is an upside-down trapezoid."
sessid002,PostTest,183,tangram_O.png,control,"Okay, this is two diamonds with a square on the top. like an upside-down tree."
sessid002,PostTest,184,tangram_AC.png,repeated,Spaceship.
sessid002,PostTest,185,tangram_Y.png,control,"ok, other animal. parallelogram for one of the front foot."
sessid002,PostTest,186,tangram_AG.png,control,House with a triangle to the left.
sessid002,PostTest,187,tangram_J.png,repeated,"Chunky man. Chunky man with the two legs. Two feet, two triangles."
sessid002,PostTest,188,tangram_C.png,control,"Someone with two hands, two arms in the air. Parallelogram for the body."
sessid002,PostTest,189,tangram_AE.png,control,"Um, person riding a horse. Looks more like a dog. It's a little child riding a dog."
sessid002,PostTest,190,tangram_AI.png,repeated,Handstand.
sessid002,PostTest,191,tangram_AB.png,repeated,"Uh, dancer with a can opener."
sessid002,PostTest,192,tangram_Z.png,repeated,Weird shapes going in the line from the top left to the bottom right.
sessid002,PostTest,193,tangram_W.png,repeated,Music note.
sessid002,PostTest,194,tangram_S.png,control,"Oh, totem pole. Weird totem pole with the yeah..."
sessid002,PostTest,195,tangram_F.png,control,"A person, like, sitting down in, like, a crouched position."
sessid002,PostTest,196,tangram_X.png,repeated,"Okay, splits."
sessid002,PostTest,197,tangram_D.png,repeated,Priest.
sessid002,PostTest,198,tangram_M.png,repeated,Scorpion.
sessid002,PostTest,199,tangram_H.png,repeated,"Um, blob with the triangle to, going to the right."
sessid002,PostTest,200,tangram_AA.png,control,"Okay, this is, like, a rectangle going from the top left to the bottom right. And then there's a triangle coming..."
sessid002,PostTest,201,tangram_T.png,control,"Okay, this one's a flamingo. Or a swan."
sessid002,PostTest,202,tangram_A.png,control,"Okay, a person, like, zombie kind of guy. One foot on the floor, one foot going to the left."
sessid002,PostTest,203,tangram_K.png,control,"Okay, kneeling to the right with, like, a triangle outstretched. And then a triangle, like, two triangles to the right. Um, and, like, they're, like, kneeling, but then there's, like, a blob in the very bottom. It's, like, a triangle with a right angle on the bottom left."
sessid002,PostTest,204,tangram_Q.png,repeated,Toilet.
sessid002,PostTest,205,tangram_G.png,repeated,Horse neighing.
sessid002,PostTest,206,tangram_E.png,control,"Uh, bunny. Bunny ears. Triangle body."
sessid002,PostTest,207,tangram_I.png,repeated,"Uh, ice skating."
sessid002,PostTest,208,tangram_R.png,repeated,Scuba diver.
sessid002,PostTest,209,tangram_AJ.png,control,"Okay, this one is weird. Um, triangle with the right angle to the right. And then another triangle on top of that with a rectangle on top of that. And then another triangle on top of that with a right angle on the left. And then a tiny little triangle on the..."
sessid002,PostTest,210,tangram_B.png,repeated,"Um, right arm detached, left arm attached."
sessid002,PostTest,211,tangram_L.png,control,"Um, the whole, like, the triangle, like, giving hands out to the right. But then this time the parallelogram on the bottom instead of a triangle."
sessid002,PostTest,212,tangram_P.png,control,"Okay, and this is, like, a floating person going to the sky with a triangle, upside down triangle, like, on his butt. And then a head, a square head. And then a rectangular body going from the bottom left corner to the upper right corner. Um, triangle..."
sessid002,PostTest,213,tangram_AF.png,repeated,Riding horse.
sessid002,PostTest,214,tangram_AH.png,repeated,"House, rectangle on the right."
sessid002,PostTest,215,tangram_U.png,control,"Okay, this is, like, an upside down triangle on the bottom right corner. And then on top of that is, like, another triangle. And then..."
